article_index,model,prompt,rouge1,rouge2,rougeL,bleu,bertscore_f1,ref_len,pred_len
2,Vamsi/T5_Paraphrase_Paws,zero,0.38983050847457623,0.18965517241379307,0.288135593220339,0.10757391515729617,0.6084663271903992,38,84
2,Vamsi/T5_Paraphrase_Paws,few,0.22580645161290322,0.049180327868852465,0.11290322580645161,0.0,0.49816301465034485,38,90
3,Vamsi/T5_Paraphrase_Paws,zero,0.481203007518797,0.30534351145038174,0.3909774436090225,0.26413175789514676,0.7083243131637573,51,81
3,Vamsi/T5_Paraphrase_Paws,few,0.16058394160583941,0.029629629629629634,0.08759124087591241,0.03500176914541493,0.4692426025867462,51,87
4,Vamsi/T5_Paraphrase_Paws,zero,0.28571428571428575,0.15533980582524273,0.28571428571428575,0.0713654980995275,0.5969081521034241,29,79
4,Vamsi/T5_Paraphrase_Paws,few,0.09345794392523364,0.0,0.056074766355140186,0.0,0.428537517786026,29,81
5,Vamsi/T5_Paraphrase_Paws,zero,0.34234234234234234,0.09174311926605505,0.21621621621621623,0.0,0.6155967116355896,41,74
5,Vamsi/T5_Paraphrase_Paws,few,0.16129032258064516,0.01639344262295082,0.09677419354838711,0.0,0.42240849137306213,41,88
6,Vamsi/T5_Paraphrase_Paws,zero,0.09195402298850575,0.023529411764705882,0.06896551724137931,0.0,0.4924895465373993,21,71
6,Vamsi/T5_Paraphrase_Paws,few,0.08333333333333334,0.0,0.06249999999999999,0.0,0.4544764757156372,21,79
7,Vamsi/T5_Paraphrase_Paws,zero,0.4852941176470589,0.2388059701492537,0.27941176470588236,0.08511776900252334,0.6885876655578613,49,92
7,Vamsi/T5_Paraphrase_Paws,few,0.16666666666666669,0.061538461538461535,0.10606060606060606,0.0,0.49632903933525085,49,87
8,Vamsi/T5_Paraphrase_Paws,zero,0.3711340206185567,0.21052631578947367,0.3092783505154639,0.15227260025365172,0.6282113194465637,41,64
8,Vamsi/T5_Paraphrase_Paws,few,0.2807017543859649,0.10714285714285714,0.17543859649122806,0.05552508557268138,0.5344926714897156,41,81
9,Vamsi/T5_Paraphrase_Paws,zero,0.631578947368421,0.4885496183206106,0.5714285714285714,0.39007669948362306,0.7795060873031616,65,73
9,Vamsi/T5_Paraphrase_Paws,few,0.21705426356589147,0.047244094488188976,0.12403100775193798,0.0,0.5081444382667542,65,72
